"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.60066580168226e-81,1.99880686202238,0.471,0.005,5.20133160336452e-78,"1","Col1a2"
4.16522539136043e-78,1.59915755900112,0.412,0.003,8.33045078272087e-75,"1","Meis1"
1.07560858902395e-37,2.41268943932331,0.412,0.012,2.15121717804791e-34,"1","Bmpr1b"
1.44990482883147e-22,1.56366750933045,0.471,0.032,2.89980965766293e-19,"1","Colec12"
5.41591791821268e-18,3.77261014710968,0.765,0.06,1.08318358364254e-14,"1","Atp1a2"
8.40902075386934e-17,3.92346609717255,0.765,0.103,1.68180415077387e-13,"1","Nfia"
9.25004051912592e-17,1.90800450123545,0.529,0.023,1.85000810382518e-13,"1","Prrx1"
9.10857474324558e-16,1.08986128343333,0.235,0.011,1.82171494864912e-12,"1","Foxb1"
1.86476463782322e-15,3.49378341486459,0.824,0.131,3.72952927564643e-12,"1","Slc1a2"
6.4428457192771e-14,4.15582015050173,0.824,0.199,1.28856914385542e-10,"1","Slc4a4"
4.93738241042098e-13,4.21926230194206,0.824,0.175,9.87476482084196e-10,"1","Apoe"
6.03125688441465e-13,3.11746823656807,0.706,0.098,1.20625137688293e-09,"1","Gm3764"
6.42906100766522e-13,3.00277324657999,0.706,0.096,1.28581220153304e-09,"1","Mmd2"
6.63979214510057e-13,1.7913159534825,0.471,0.034,1.32795842902011e-09,"1","B230323A14Rik"
7.27608634384639e-13,2.65931793228796,0.588,0.042,1.45521726876928e-09,"1","Itih3"
9.40498183340013e-13,2.11074941908684,0.529,0.038,1.88099636668003e-09,"1","Myo1e"
2.24542977414387e-12,1.78587339341677,0.471,0.059,4.49085954828774e-09,"1","Slco1c1"
1.10717411047861e-11,4.3751108833843,0.765,0.201,2.21434822095723e-08,"1","Gpc5"
1.58764570604216e-11,3.09154396440133,0.882,0.283,3.17529141208431e-08,"1","Ptprz1"
2.11480275816344e-11,2.82171711841985,0.588,0.07,4.22960551632688e-08,"1","Agt"
2.26041561966082e-11,2.36500661021474,0.588,0.069,4.52083123932163e-08,"1","Bcan"
3.26907026818248e-11,2.48541950811979,0.647,0.131,6.53814053636496e-08,"1","Ccdc141"
5.57079291810066e-11,3.18966264940381,0.588,0.094,1.11415858362013e-07,"1","Prex2"
5.71362457886537e-11,2.8652557943834,0.588,0.069,1.14272491577307e-07,"1","Soat1"
9.18872092851477e-11,1.91853868540601,0.529,0.068,1.83774418570295e-07,"1","Gm973"
2.67012357010246e-10,1.66231158031763,0.471,0.028,5.34024714020491e-07,"1","Slc7a10"
3.54152683697673e-10,2.90697210277734,0.647,0.149,7.08305367395347e-07,"1","Rorb"
3.76097523351455e-10,2.9552447984585,0.529,0.056,7.52195046702911e-07,"1","Gja1"
9.6205788912734e-10,3.15172920461941,0.882,0.33,1.92411577825468e-06,"1","Cst3"
1.17441100961831e-09,2.13624881085039,0.529,0.092,2.34882201923661e-06,"1","Cmtm5"
1.31891616210214e-09,1.97446489813657,0.529,0.051,2.63783232420427e-06,"1","Slc2a1"
1.52570080775574e-09,1.78146239019216,0.471,0.04,3.05140161551148e-06,"1","Tril"
4.42341020773873e-09,3.01203433487846,0.765,0.24,8.84682041547746e-06,"1","Qk"
4.66611503245211e-09,2.17393637459054,0.529,0.086,9.33223006490422e-06,"1","Slc7a11"
7.05615467049887e-09,2.65229969449612,0.647,0.163,1.41123093409977e-05,"1","Timp3"
7.72890555011185e-09,2.70446016683253,0.588,0.082,1.54578111002237e-05,"1","Sparc"
1.48514125244996e-08,2.36595521908927,0.529,0.092,2.97028250489992e-05,"1","Kcnip3"
1.52693134253532e-08,1.66316200221534,0.412,0.055,3.05386268507064e-05,"1","Nkx2-2"
2.12162712140113e-08,2.1798515210427,0.529,0.074,4.24325424280226e-05,"1","Serpine2"
3.12875778743999e-08,2.30710237390948,0.529,0.088,6.25751557487997e-05,"1","Plcd4"
6.81831776009317e-08,1.9647395446514,0.412,0.029,0.000136366355201863,"1","Btbd17"
7.54818818157211e-08,2.39122109503904,0.588,0.133,0.000150963763631442,"1","Spon1"
9.25852544772959e-08,2.29824865590362,0.529,0.123,0.000185170508954592,"1","Adamts20"
9.50219952966917e-08,1.08440871078527,0.412,0.036,0.000190043990593383,"1","Epas1"
1.26742825297674e-07,2.58432798949507,0.765,0.281,0.000253485650595349,"1","Mpp6"
1.39972615849735e-07,1.997116731746,0.529,0.121,0.00027994523169947,"1","Rfx4"
2.25830543746714e-07,2.37602220857878,0.588,0.14,0.000451661087493428,"1","Slc6a1"
2.60402436995516e-07,1.95879287828503,0.412,0.043,0.000520804873991031,"1","S1pr1"
3.67001094235537e-07,2.37065842899015,0.471,0.047,0.000734002188471075,"1","Gpr37l1"
5.22065977745172e-07,1.58380492833413,0.412,0.053,0.00104413195549034,"1","Gramd3"
5.65825714138162e-07,1.23223664558142,0.412,0.042,0.00113165142827632,"1","Btg2"
6.08002122024918e-07,0.946023180536696,0.412,0.07,0.00121600424404984,"1","Smad3"
9.54039272404966e-07,2.54849757223169,0.588,0.163,0.00190807854480993,"1","Slc6a11"
1.00220235056748e-06,2.12983919675923,0.529,0.117,0.00200440470113497,"1","Ndrg2"
1.05261845108323e-06,1.0020656494923,0.412,0.059,0.00210523690216647,"1","Igsf1"
1.4351277553148e-06,2.29052697442828,0.588,0.166,0.0028702555106296,"1","Ppargc1a"
1.46049628625336e-06,1.47906276111731,0.471,0.093,0.00292099257250672,"1","Arhgef26"
1.79821491641852e-06,3.05980282282914,0.529,0.096,0.00359642983283704,"1","Sparcl1"
1.98758306273475e-06,2.38845156984585,0.588,0.166,0.0039751661254695,"1","Luzp2"
2.29575450253592e-06,1.47040483865252,0.471,0.102,0.00459150900507183,"1","Zeb2"
2.29583105074878e-06,0.938172352357606,0.412,0.057,0.00459166210149756,"1","Hist1h2bc"
2.58700985116246e-06,0.95132265042891,0.412,0.057,0.00517401970232493,"1","Akap5"
3.04334288825431e-06,2.3097987225439,0.882,0.522,0.00608668577650863,"1","Npas3"
3.5586667593579e-06,2.33818204384467,0.647,0.218,0.0071173335187158,"1","Cd81"
3.8810676128699e-06,1.41206136365053,0.471,0.101,0.0077621352257398,"1","Eif2ak2"
3.88426486822446e-06,2.50361763220747,0.529,0.166,0.00776852973644892,"1","Gm16168"
4.11876587023814e-06,2.12718618767533,0.471,0.114,0.00823753174047628,"1","Slc39a12"
5.5347240601673e-06,1.84395660992251,0.412,0.046,0.0110694481203346,"1","Etv1"
8.2071757844272e-06,1.90198937767494,0.588,0.17,0.0164143515688544,"1","Lgi1"
8.60856600223465e-06,1.56072812253406,0.471,0.106,0.0172171320044693,"1","Pla2g7"
9.71459007192971e-06,1.47056738866832,0.471,0.116,0.0194291801438594,"1","Ldb2"
1.00093677541836e-05,1.3413476893716,0.471,0.13,0.0200187355083672,"1","Cep128"
1.06084506810878e-05,1.64470263301992,0.412,0.047,0.0212169013621756,"1","Aqp4"
1.41646884495359e-05,1.53216244986242,0.471,0.125,0.0283293768990719,"1","Chd7"
1.45274779640018e-05,1.32540208868549,0.353,0.025,0.0290549559280036,"1","Hhip"
1.60641112594878e-05,2.5704650588114,0.706,0.32,0.0321282225189756,"1","Pitpnc1"
1.64857518613891e-05,1.00996893231065,0.353,0.031,0.0329715037227783,"1","Pax6"
1.75746847765136e-05,1.09139664543014,0.353,0.025,0.0351493695530273,"1","Itgb5"
1.82548074209392e-05,1.35291119557147,0.176,0.021,0.0365096148418784,"1","Dcn"
1.87539189682557e-05,1.66381104597732,0.471,0.114,0.0375078379365113,"1","Mbp"
1.88474187424386e-05,1.28041502545298,0.471,0.118,0.0376948374848773,"1","Pde9a"
1.98528512191191e-05,1.12078453327191,0.412,0.084,0.0397057024382382,"1","Hlf"
2.43153240158602e-05,2.19549794350686,0.529,0.15,0.0486306480317203,"1","Pip4k2a"
2.64903739421805e-05,1.92590147296153,0.412,0.063,0.052980747884361,"1","Ednrb"
3.06896828804235e-05,0.838789019899718,0.118,0.005,0.0613793657608469,"1","Fbln1"
3.37718146231921e-05,0.876465781409611,0.412,0.087,0.0675436292463841,"1","Ccdc151"
3.72395527203398e-05,0.904509561185237,0.412,0.086,0.0744791054406796,"1","Ggh"
3.72598044169002e-05,1.60334118565793,0.412,0.057,0.0745196088338003,"1","Id2"
4.48868985119068e-05,1.46207423556857,0.471,0.147,0.0897737970238136,"1","Csgalnact1"
4.68798247813717e-05,1.35094466008912,0.529,0.167,0.0937596495627435,"1","Ptprt"
5.10353615415317e-05,1.28471575547856,0.882,0.549,0.102070723083063,"1","Plcb1"
5.13571763750281e-05,2.33389104098298,0.882,0.676,0.102714352750056,"1","Trpm3"
5.16279683032086e-05,1.74220838690272,0.412,0.07,0.103255936606417,"1","Nfix"
5.58440596212627e-05,2.49830283480344,0.765,0.423,0.111688119242525,"1","Nnat"
5.72562667316914e-05,0.915299221791301,0.118,0.011,0.114512533463383,"1","Gper1"
5.74933206246139e-05,0.919267031315404,0.412,0.099,0.114986641249228,"1","Etv5"
5.88389173610454e-05,0.82206205994178,0.412,0.099,0.117677834722091,"1","Dock1"
6.41462917654266e-05,2.03815054012376,0.529,0.134,0.128292583530853,"1","Dhx40"
6.46065228162026e-05,2.26768273073484,0.412,0.073,0.129213045632405,"1","Slc1a3"
